Company Name,Website,Location (SF / Remote / US),Stage (Seed / Series A / B / C),"What they do (1–2 lines, very clear)",Why they likely need data pipeline help (specific),"Key signal (job posting, funding, product type, public post)",Relevant role/job link (if available),"Best contact type (Founder, Head of Engineering, Data Lead)",LinkedIn or public profile (if available)
Coalesce,coalesce.io 51,SF 52,Series B 52,Data transformation and governance platform positioned as a control layer for pipelines so analytics and AI can scale. 51,"Running a transformation platform typically requires deep expertise in orchestration patterns, lineage/metadata systems, job compilation, and reliability engineering across customer environments. 51",Raised $50M Series B (Apr 2024). 52,Careers page. 53,Head of Engineering,Public post (example). 54
Onehouse,onehouse.ai 55,US 55,Series B 55,"Managed/open data lakehouse platform, positioning itself as “universal data lakehouse.” 55","Lakehouse operators typically need ingestion optimization, table layout/compaction strategy, cost-performance tuning, and observability for large-scale pipelines. 56",Raised $35M Series B (Jun 2024) and is hiring for “Distributed Data Systems” and data platform roles. 55,Data Platform Engineer (Built In). 56,Head of Engineering,Investor post (Greylock). 57
Foxglove,foxglove.dev 58,SF 59,Series B 60,"Data and observability platform for robotics and physical AI, including data curation and visualization. 58","Robotics data pipelines must ingest high-volume sensor/log streams, manage storage formats, and support performant querying and curation workflows. 61",Raised $40M Series B and hires roles focused on data infrastructure and ingestion workflows. 62,"Solutions Engineer, Data Infrastructure (Ashby/LinkedIn). 63",Head of Engineering,Careers page. 58
TRM Labs,trmlabs.com 64,SF 65,Series C 66,"Blockchain intelligence platform combining data, threat intel, and analytics to detect crypto-related crime and risk. 64","Explicit petabyte-scale, real-time ETL and lakehouse architecture needs suggest ongoing tuning of ingestion, models, and query performance. 67",Announced $70M Series C (Feb 2026) and hires data engineering roles referencing petabytes and real-time ETL. 66,Forward Deployed Data Engineer / Senior Data Engineer roles. 68,Data Lead,Careers page. 64
Gauntlet,gauntlet.xyz 69,Remote 69,Series B 70,Financial simulation and risk modeling platform for DeFi protocols. 70,Their engineering roles explicitly include building ETL workflows for on-chain data ingestion (RPC/logs/indexers) plus low-latency pipelines for trading/risk systems. 71,Raised a $23.8M Series B (announced Mar 2022) and continues hiring for ETL-heavy infra roles. 70,Senior Software Engineer: Trading Infrastructure (Lever). 71,Data Lead,Careers page. 69
Finch,tryfinch.com 72,SF 73,Series B 74,"Unified API for HRIS, payroll, and benefits integrations (employment connector infrastructure). 72","Handling 200+ systems typically implies frequent schema/API changes, connector maintenance, backfills, and customer-specific normalization pipelines. 72",Public hiring post includes “optimize customer data pipelines”; platform team is small and high-impact. 75,"Senior Software Engineer, Platform (Lever). 76",Head of Engineering,Hiring post with role list. 75
Shaped,shaped.ai 77,Remote 78,Series A 79,"Real-time retrieval engine for search, feeds, and agents (behavioural data to relevance). 77","The company’s own hiring language emphasizes building real-time and batch streaming infrastructure and reliably ingesting customer data, which commonly needs robust ingestion + observability patterns. 78",Raised $20M Series A (Jul 2024). 79,Data Engineer role (Susa Ventures job board). 78,Founder,LinkedIn company page. 80
Definite,definite.app 81,Remote 81,Seed 81,"AI-native “full-stack” data platform positioned as replacing warehouses, connectors, and BI setup overhead. 81","Data-platform products typically require building and hardening connectors, ingestion, transformation, and metrics layers, plus internal analytics to prove value and retention. 82",$10M seed round announcement notes remote-first hiring across engineering and GTM. 81,Hiring referenced in funding announcement (specific role link unspecified). 81,Founder,Founder public post (LinkedIn). 83
ParadeDB,paradedb.com 84,Remote 85,Series A 86,Postgres-based search and analytics extensions positioned as “zero ETL” for search/analytics workloads. 84,"Building “zero ETL” still requires deep work on replication/logical decoding, indexing pipelines, query performance, and correctness guarantees under write-heavy workloads. 87",Announced $11M Series A (Jul 2025) and runs an active engineering job board. 86,Open roles (Notion job board / YC roles). 88,Head of Engineering,Jobs board (public). 88
Thread AI,threadai.com 89,US 89,Series A 90,Applied AI company building production AI workflows for enterprises. 90,"Their hiring language emphasizes production AI workflows and experience with data processing pipelines, which often involves messy client data ingestion and transformation. 91",Raised $20M Series A (Jun 2025). 90,Jobs board (Ashby). 92,Head of Engineering,LinkedIn company page. 93
Trunk,trunk.io 94,SF 94,Series A 95,Developer experience platform for improving code quality and CI outcomes; hybrid team with SF office. 94,"Their stack explicitly includes “data pipelines” (Dagster/Python/polars), suggesting internal ETL systems over CI/build telemetry that will benefit from governance, performance tuning, and reliable models. 96",Hiring post lists data pipelines in core stack; company states hybrid SF presence. 96,Lever jobs page. 97,Data Lead,“About” page. 94
Craft,craft.co 98,SF 99,Series B 99,"Supplier intelligence platform to understand, monitor, and optimize global supplier networks. 99","Supplier intelligence implies continuous ingestion from many sources (risk, financial, operational signals), entity resolution, and maintainable pipeline architecture to keep graphs current. 99",Series B funding announcement plus active hiring for data engineering roles. 99,Sr. Data Engineer role (Uncork portfolio board). 100,Data Lead,LinkedIn company page. 101
Kaaj,kaaj.ai 102,SF 103,Seed 103,Agentic AI credit intelligence for SMB lending; automates underwriting workflows and application ingestion. 103,"Underwriting automation depends on ingesting messy borrower data (bank statements, apps, docs), transforming to underwriting-ready models, and tracking decision outcomes for continuous improvement. 103",Announced $3.8M seed (Nov 2025) and product scope includes application ingestion and automation of credit analysis. 103,Careers page. 102,Founder,Funding coverage (TechCrunch). 103
Zus Health,zushealth.com 104,US 104,Series B 104,Shared health data platform bringing distributed patient data to the point of care. 104,"Healthcare data acquisition implies heavy integration work (multi-source ingestion, normalization, identity matching, and auditability) with strict reliability/compliance requirements. 105",Hiring for data acquisition and data platform engineering roles; raised $40M financing for the data service platform. 105,"Senior Software Engineer, Data Acquisition and Data Platform (Lever). 105",Head of Engineering,Funding announcement (PRNewswire via company site). 104
Osmind,osmind.org 106,SF 107,Series B 107,Mental health EHR and research platform capturing research-grade data while supporting clinical workflows. 106,"EHR integrations and “real-world data” programs create ongoing ingestion, transformation, and data-quality work across systems, including backfills and compliant analytics layers. 108",Series B funding disclosed; hiring specifically references “data ingestion and EHR integrations.” 109,"Staff Software Engineer, Data Ingestion and EHR Integrations (Built In). 108",Data Lead,Series B press release. 107
